Elememts Number:  1516	     8
 1219:	    1	    7
 1220:	    1	    7
 1222:	    2	    7
 1223:	    2	    7
 1224:	    2	    7
 1226:	    1	    8
 1227:	    0	    8
 1228:	    2	    8
 1230:	    2	    7
 1231:	    2	    7
 1232:	    2	    7
 1234:	    1	    7
 1235:	    1	    7
 1236:	    1	    7
 1238:	    2	    8
 1239:	    0	    8
 1240:	    1	    8
 1242:	    1	    7
 1243:	    1	    7
 1244:	    1	    7
 1246:	    2	    7
 1247:	    2	    7
 1248:	    2	    7
 1250:	    1	    8
 1251:	    0	    8
 1252:	    2	    8
 1254:	    2	    7
 1255:	    2	    7
 1256:	    2	    7
 1258:	    1	    7
 1259:	    1	    7
 1260:	    1	    7
 1262:	    2	    8
 1263:	    0	    8
 1264:	    1	    8
 1266:	    1	    7
 1267:	    1	    7
 1268:	    1	    7
 1270:	    2	    7
 1271:	    2	    7
 1272:	    2	    7
 1274:	    1	    8
 1275:	    0	    8
 1276:	    2	    8
 1278:	    2	    7
 1279:	    2	    7
 1280:	    2	    7
 1282:	    1	    7
 1283:	    1	    7
 1284:	    1	    7
 1286:	    2	    8
 1287:	    0	    8
 1288:	    1	    8
 1290:	    1	    7
 1291:	    1	    7
 1292:	    1	    7
 1294:	    2	    7
 1295:	    2	    7
 1296:	    2	    7
 1298:	    1	    8
 1299:	    0	    8
 1300:	    2	    8
 1302:	    2	    7
 1303:	    2	    7
 1304:	    2	    7
 1306:	    1	    7
 1307:	    1	    7
 1308:	    1	    7
 1310:	    2	    8
 1311:	    0	    8
 1312:	    1	    8
 1314:	    1	    7
 1315:	    1	    7
 1316:	    1	    7
 1318:	    2	    7
 1319:	    2	    7
 1320:	    2	    7
 1322:	    1	    8
 1323:	    0	    8
 1324:	    2	    8
 1326:	    2	    7
 1327:	    2	    7
 1328:	    2	    7
 1330:	    1	    7
 1331:	    1	    7
 1332:	    1	    7
 1334:	    2	    8
 1335:	    0	    8
 1336:	    1	    8
 1338:	    1	    7
 1339:	    1	    7
 1340:	    1	    7
 1342:	    2	    7
 1343:	    2	    7
 1344:	    2	    7
 1346:	    1	    8
 1347:	    0	    8
 1348:	    2	    8
 1350:	    2	    7
 1351:	    2	    7
 1352:	    2	    7
 1354:	    1	    7
 1355:	    1	    7
 1356:	    1	    7
 1358:	    2	    8
 1359:	    0	    8
 1360:	    1	    8
 1362:	    1	    7
 1363:	    1	    7
 1364:	    1	    7
 1366:	    2	    7
 1367:	    2	    7
 1368:	    2	    7
 1370:	    1	    8
 1371:	    0	    8
 1372:	    2	    8
 1374:	    2	    8
 1375:	    0	    8
 1376:	    1	    8
 1378:	    1	    8
 1379:	    0	    8
 1380:	    2	    8
 1382:	    2	    8
 1383:	    0	    8
 1384:	    1	    8
 1386:	    1	    8
 1387:	    0	    8
 1388:	    2	    8
 1390:	    2	    8
 1391:	    0	    8
 1392:	    1	    8
 1394:	    1	    8
 1395:	    0	    8
 1396:	    2	    8
 1398:	    2	    8
 1399:	    0	    8
 1400:	    1	    8
 1402:	    1	    8
 1403:	    0	    8
 1404:	    2	    8
 1406:	    2	    8
 1407:	    0	    8
 1408:	    1	    8
 1410:	    1	    8
 1411:	    0	    8
 1412:	    2	    8
 1414:	    2	    8
 1415:	    0	    8
 1416:	    1	    8
 1418:	    1	    8
 1419:	    0	    8
 1420:	    2	    8
 1422:	    2	    8
 1423:	    0	    8
 1424:	    1	    8
 1426:	    1	    8
 1427:	    0	    8
 1428:	    2	    8
 1430:	    2	    8
